t,serial_ms,thread_ms,speedup
1,385.261,385.132,1.00
2,385.627,196.847,1.96
3,385.577,137.625,2.80
4,385.186,101.063,3.81
5,384.759,81.220,4.74
6,385.197,69.051,5.58
